ISIN;null
Начальная дата;21.10.2023
Конечная дата;06.11.2023

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A0JU2K9;ФСК Россети(ПАО)-обл. сер.26;15000;31.10.2023;1000;RUB;1000;4,25;10,6;10,6
XS2325565369;BCS SP Plc Series 159;10;30.10.2023;1250;USD;1250;;;
XS2276567604;BCS SP Plc Series 137;5;30.10.2023;1250;USD;1250;;43,75;4078,26
XS2143149834;BCS SP Plc Series 87;10;30.10.2023;1250;USD;1250;;46,875;4369,57
XS1760786340;Alfa Bond Issuance perpetual 2;500;30.10.2023;1000;USD;1000;8,128;20,32;1894,18
RU000A106TJ2;ФИНАНСОВЫЕ СИСТЕМЫ БО-01;500;30.10.2023;1000;RUB;1000;16;13,15;13,15
RU000A106T85;КОНТРОЛ лизинг 001Р-01;1000;30.10.2023;1000;RUB;1000;16,25;13,36;13,36
RU000A106MQ2;Банк ВТБ (ПАО) Б-1-330;121,743;30.10.2023;1000;RUB;1000;10;24,93;24,93
RU000A104V00;Пионер-Лизинг БР5;400;30.10.2023;1000;RUB;1000;14,99;12,32;12,32
RU000A103YP6;СГ-транс 001P-01;8500;30.10.2023;1000;RUB;1000;9,9;24,68;24,68
RU000A103DA2;МигКредит 01К;800;30.10.2023;1000;RUB;320;12,25;3,62;3,62
RU000A102ZT7;МФК Быстроденьги 02;400;30.10.2023;1000;RUB;1000;12,75;10,48;10,48
RU000A102B30;Интерлизинг 001Р-01;1000;30.10.2023;1000;RUB;1000;11,5;28,67;28,67
RU000A102A07;АЛЬФА-БАНК Б2Р8;8000;30.10.2023;1000;RUB;1000;5,9;29,58;29,58
RU000A101VG5;Банк ВТБ (ПАО) Б-1-97;86,532;30.10.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A0ZZ5J9;Почта России (АО) БО-001P-05;5000;30.10.2023;1000;RUB;1000;9,9;49,36;49,36
RU000A0ZZ5H3;Почта России (АО) БО-001P-04;5000;30.10.2023;1000;RUB;1000;9,9;49,36;49,36
RU000A0JVWA5;РОСБАНК ПАО обл. БО-19;5000;30.10.2023;1000;RUB;1000;1;5,01;5,01
RU000A0JULC6;РОСБАНК ПАО обл.БСО-15;3000;30.10.2023;1000;RUB;1000;0,01;0,03;0,03
RU000A0JULA0;РОСБАНК ПАО обл.БСО-14;3000;30.10.2023;1000;RUB;1000;0,02;0,05;0,05
RU000A0JUL91;РОСБАНК ПАО обл.БСО-13;2000;30.10.2023;1000;RUB;1000;0,03;0,08;0,08
RU000A0JUL67;РОСБАНК ПАО обл.БСО-12;2000;30.10.2023;1000;RUB;1000;0,04;0,1;0,1
RU000A103HG0;АйДи Коллект 01;400;29.10.2023;1000;RUB;1000;12;9,86;9,86
RU000A1032X5;ТЕХНО Лизинг 001P-04;500;29.10.2023;1000;RUB;1000;10,75;8,84;8,84
RU000A1028H6;Сибнефтехимтрейд БО-01;300;29.10.2023;1000;RUB;833,3;13,5;11,1;11,1
